transaction_id,timestamp,hour,sender_upi_id,sender_name,receiver_upi_id,receiver_name,amount,transaction_type,device_id,location_city,latitude,longitude,network_type,device_trust_score,failed_pin_attempts,sender_account_age_days,is_new_payee,time_since_last_txn_sec,distance_from_last_txn_km,travel_speed_kmh,amount_to_user_avg_ratio,user_historical_txns,is_fraud,fraud_type
TXN_UPI_202608000000,2026-08-01 08:02:28,8,karan.pandey815@oksbi,Karan Pandey,zomato.pay@hdfcbank,Zomato Online,604.56,QR_SCAN,"DEV_IND_00166_iPhone15,2",Kolkata,22.5684,88.3459,4G,0.86,0,528,0,1.0,1.9,6854.47,1.343,1,0,NONE
TXN_UPI_202608000001,2026-08-01 08:04:47,8,kavita.mishra339@barodampay,Kavita Mishra,apollo.meds@bharatpe,Apollo Pharmacy,2248.27,QR_SCAN,DEV_IND_00339_OnePlus11,Chennai,13.1321,80.2874,5G,0.89,0,809,1,26027.0,5.78,0.8,1.874,1,0,NONE
TXN_UPI_202608000002,2026-08-01 08:06:50,8,karan.pandey546@oksbi,Karan Pandey,amazon.pay@bharatpe,Amazon India,13532.56,QR_SCAN,DEV_IND_00346_SM-S918B,Mumbai,19.0568,72.8679,5G,0.96,0,1748,0,1.0,2.37,8536.52,54.13,1,0,NONE
TXN_UPI_202608000003,2026-08-01 08:07:23,8,vikram.patel672@ybl,Vikram Patel,airtel.bills@icici,Airtel Postpaid,957.46,P2M,DEV_IND_00334_SM-S918B,Delhi,28.5917,77.1613,5G,0.92,0,1918,0,24683.0,5.27,0.77,0.798,1,0,NONE
TXN_UPI_202608000004,2026-08-01 08:07:55,8,manish.bose391@okaxis,Manish Bose,uber.rides@paytmqr,Uber India,936.5,P2M,DEV_IND_00524_RedmiNote12,Ahmedabad,23.0392,72.5612,5G,0.93,0,1246,0,1.0,2.13,7668.59,0.78,1,0,NONE
TXN_UPI_202608000005,2026-08-01 08:09:43,8,meera.gupta121@okhdfcbank,Meera Gupta,kirana.merchant@paytmqr,Local Kirana Store,260.31,P2M,DEV_IND_00381_Pixel8,Hyderabad,17.3566,78.5255,5G,0.86,0,1376,0,1.0,5.19,18682.42,0.052,1,0,NONE
TXN_UPI_202608000006,2026-08-01 08:11:46,8,ritika.kumar121@okicici,Ritika Kumar,amazon.pay@bharatpe,Amazon India,11010.5,P2M,DEV_IND_00295_SM-S918B,Lucknow,26.8565,80.9106,4G,0.94,1,1547,0,1.0,3.7,13317.23,4.404,1,0,NONE
TXN_UPI_202608000007,2026-08-01 08:14:10,8,neha.mehta347@okaxis,Neha Mehta,tatapower.bill@bharatpe,Tata Power Electricity,986.47,P2M,DEV_IND_00343_RedmiNote12,Hyderabad,17.3765,78.4923,5G,0.93,0,807,0,6310.0,1.12,0.64,0.395,1,0,NONE
TXN_UPI_202608000008,2026-08-01 08:14:55,8,harsh.bose48@apl,Harsh Bose,chaipoint.pos@paytmqr,Chai Point Express,117.47,P2M,DEV_IND_00204_SM-S918B,Mumbai,19.1095,72.8581,5G,0.94,0,785,0,1.0,4.25,15310.32,0.157,1,0,NONE
TXN_UPI_202608000009,2026-08-01 08:15:11,8,amit.iyer584@oksbi,Amit Iyer,apollo.meds@sbi,Apollo Pharmacy,2098.87,P2M,DEV_IND_00002_RedmiNote12,Hyderabad,17.4243,78.4784,5G,0.88,0,1496,0,1.0,4.45,16034.65,0.42,1,0,NONE
